x,y,z,type,volume,cycle entry,custom:GFP,custom:sample
-180.0,-187.0,0.0,mature celltloo
-180.0,-170.0,0.0,mature cell
-180.0,-153.0,0.0,mature cell
-180.0,-136.0,0.0,mature cell
-180.0,-119.0,0.0,mature cell
-180.0,-102.0,0.0,mature cell
-180.0,-85.0,0.0,mature cell
-180.0,-68.0,0.0,mature cell
-180.0,-51.0,0.0,mature cell
-180.0,-34.0,0.0,mature cell
-180.0,-17.0,0.0,mature cell
-180.0,0.0,0.0,mature cell
-180.0,17.0,0.0,mature cell
-180.0,34.0,0.0,mature cell
-180.0,51.0,0.0,mature cell
-180.0,68.0,0.0,mature cell
-180.0,85.0,0.0,mature cell
-180.0,102.0,0.0,mature cell
-180.0,119.0,0.0,mature cell
-180.0,136.0,0.0,mature cell
-180.0,153.0,0.0,mature cell
-180.0,170.0,0.0,mature cell
-180.0,187.0,0.0,mature cell
-163,0.0,0.0,stalk cell
-146,0.0,0.0,stalk cell
-129,0.0,0.0,stalk cell
-112,0.0,0.0,tip cell
